population,minimum_age,maximum_age,gender,zipcode,geo_id
0,65,66,female,01224,8600000US01224
0,75,79,male,01434,8600000US01434
0,30,34,male,02047,8600000US02047
0,75,79,male,02542,8600000US02542
0,20,20,male,03441,8600000US03441
0,20,20,female,03850,8600000US03850
0,20,20,female,04275,8600000US04275
0,80,84,male,04469,8600000US04469
0,65,66,male,04469,8600000US04469
0,21,21,male,04637,8600000US04637
0,62,64,male,05084,8600000US05084
0,20,20,male,05901,8600000US05901
0,62,64,female,06020,8600000US06020
0,85,,female,06856,8600000US06856
0,60,61,male,08074,8600000US08074
0,45,49,female,08320,8600000US08320
0,65,66,female,10020,8600000US10020
0,85,,male,10020,8600000US10020
0,5,9,male,10152,8600000US10152
0,67,69,male,10153,8600000US10153
0,85,,female,10153,8600000US10153
0,50,54,female,10167,8600000US10167
0,45,49,male,10167,8600000US10167
0,75,79,male,10271,8600000US10271
0,85,,male,10271,8600000US10271
0,10,14,female,10278,8600000US10278
0,18,19,female,10278,8600000US10278
0,80,84,female,10311,8600000US10311
0,85,,male,11425,8600000US11425
0,55,59,male,11973,8600000US11973
0,67,69,male,11973,8600000US11973
0,20,20,female,12738,8600000US12738
0,10,14,female,12872,8600000US12872
0,30,34,female,13333,8600000US13333
0,40,44,female,13441,8600000US13441
0,20,20,female,13751,8600000US13751
0,20,20,female,14302,8600000US14302
0,85,,male,14588,8600000US14588
0,85,,male,14627,8600000US14627
0,65,66,male,14778,8600000US14778
0,35,39,male,15260,8600000US15260
0,18,19,male,15752,8600000US15752
0,62,64,male,15945,8600000US15945
0,15,17,female,16211,8600000US16211
0,21,21,female,16311,8600000US16311
0,22,24,female,16312,8600000US16312
0,21,21,female,16332,8600000US16332
0,65,66,female,16802,8600000US16802
0,21,21,male,17072,8600000US17072
0,,,female,17120,8600000US17120
0,85,,female,17120,8600000US17120
0,25,29,female,17120,8600000US17120
0,20,20,male,17355,8600000US17355
0,65,66,male,17822,8600000US17822
0,60,61,male,17880,8600000US17880
0,80,84,female,18430,8600000US18430
0,0,4,female,19109,8600000US19109
0,20,20,female,19109,8600000US19109
0,85,,female,19383,8600000US19383
0,67,69,male,20245,8600000US20245
0,25,29,female,20260,8600000US20260
0,62,64,female,20307,8600000US20307
0,30,34,female,20319,8600000US20319
0,15,17,male,20405,8600000US20405
0,85,,female,20418,8600000US20418
0,18,19,male,20540,8600000US20540
0,10,14,female,20560,8600000US20560
0,75,79,male,21250,8600000US21250
0,5,9,female,21824,8600000US21824
0,25,29,female,21916,8600000US21916
0,45,49,female,21930,8600000US21930
0,20,20,female,21930,8600000US21930
0,22,24,female,22214,8600000US22214
0,18,19,female,22627,8600000US22627
0,60,61,female,22732,8600000US22732
0,62,64,male,23173,8600000US23173
0,0,4,male,23187,8600000US23187
0,75,79,male,24316,8600000US24316
0,20,20,female,24729,8600000US24729
0,55,59,male,25112,8600000US25112
0,10,14,male,25112,8600000US25112
0,21,21,female,25201,8600000US25201
0,21,21,male,25267,8600000US25267
0,85,,male,25845,8600000US25845
0,30,34,female,26152,8600000US26152
0,25,29,male,26236,8600000US26236
0,0,4,male,27110,8600000US27110
0,15,17,female,27982,8600000US27982
0,65,66,female,28652,8600000US28652
0,20,20,female,28749,8600000US28749
0,50,54,male,29733,8600000US29733
0,75,79,female,29905,8600000US29905
0,0,4,male,30275,8600000US30275
0,50,54,male,30289,8600000US30289
0,10,14,female,30332,8600000US30332
0,85,,male,30602,8600000US30602
0,10,14,female,30812,8600000US30812
0,30,34,male,31213,8600000US31213
0,60,61,male,31409,8600000US31409
0,22,24,female,32447,8600000US32447
0,60,61,female,32511,8600000US32511
0,50,54,female,32612,8600000US32612
0,15,17,male,33122,8600000US33122
0,50,54,male,33965,8600000US33965
0,80,84,female,33965,8600000US33965
0,85,,male,35457,8600000US35457
0,20,20,female,36616,8600000US36616
0,85,,male,36753,8600000US36753
0,0,4,male,36766,8600000US36766
0,65,66,female,36849,8600000US36849
0,20,20,male,36913,8600000US36913
0,75,79,female,37201,8600000US37201
0,65,66,male,37243,8600000US37243
0,10,14,female,37394,8600000US37394
0,65,66,female,38046,8600000US38046
0,15,17,female,38578,8600000US38578
0,75,79,male,38677,8600000US38677
0,18,19,female,39177,8600000US39177
0,21,21,male,39326,8600000US39326
0,67,69,female,39760,8600000US39760
0,21,21,male,40048,8600000US40048
0,85,,male,40376,8600000US40376
0,45,49,female,40404,8600000US40404
0,65,66,male,40404,8600000US40404
0,80,84,female,40434,8600000US40434
0,20,20,female,40604,8600000US40604
0,21,21,female,41559,8600000US41559
0,20,20,male,41729,8600000US41729
0,75,79,female,42322,8600000US42322
0,21,21,female,43158,8600000US43158
0,50,54,female,43403,8600000US43403
0,20,20,female,43434,8600000US43434
0,20,20,male,43740,8600000US43740
0,20,20,male,44274,8600000US44274
0,67,69,female,46155,8600000US46155
0,21,21,male,46345,8600000US46345
0,30,34,female,47160,8600000US47160
0,35,39,female,47405,8600000US47405
0,85,,female,47536,8600000US47536
0,65,66,male,48440,8600000US48440
0,0,4,male,50011,8600000US50011
0,18,19,female,50078,8600000US50078
0,35,39,male,50127,8600000US50127
0,20,20,female,50127,8600000US50127
0,20,20,female,50272,8600000US50272
0,22,24,female,50593,8600000US50593
0,67,69,male,50605,8600000US50605
0,65,66,female,50839,8600000US50839
0,60,61,female,50863,8600000US50863
0,21,21,female,51018,8600000US51018
0,22,24,female,51051,8600000US51051
0,60,61,female,52168,8600000US52168
0,21,21,male,52580,8600000US52580
0,5,9,female,53599,8600000US53599
0,80,84,female,54123,8600000US54123
0,21,21,female,54638,8600000US54638
0,75,79,female,54641,8600000US54641
0,35,39,female,55111,8600000US55111
0,80,84,female,55905,8600000US55905
0,62,64,male,56056,8600000US56056
0,0,4,male,56210,8600000US56210
0,65,66,female,56328,8600000US56328
0,21,21,male,56641,8600000US56641
0,10,14,male,56658,8600000US56658
0,60,61,female,56658,8600000US56658
0,15,17,female,57041,8600000US57041
0,60,61,male,57197,8600000US57197
0,20,20,female,57374,8600000US57374
0,22,24,male,57379,8600000US57379
0,85,,female,57429,8600000US57429
0,21,21,male,57547,8600000US57547
0,60,61,female,57562,8600000US57562
0,22,24,female,58219,8600000US58219
0,21,21,male,58276,8600000US58276
0,25,29,male,58345,8600000US58345
0,35,39,female,58355,8600000US58355
0,20,20,female,58478,8600000US58478
0,67,69,male,58505,8600000US58505
0,35,39,female,58705,8600000US58705
0,20,20,female,59057,8600000US59057
0,21,21,male,59078,8600000US59078
0,65,66,male,59211,8600000US59211
0,25,29,male,59242,8600000US59242
0,75,79,female,59257,8600000US59257
0,5,9,female,59276,8600000US59276
0,20,20,male,59441,8600000US59441
0,75,79,female,59545,8600000US59545
0,80,84,female,59631,8600000US59631
0,20,20,male,59854,8600000US59854
0,30,34,male,59929,8600000US59929
0,21,21,female,61079,8600000US61079
0,50,54,female,61112,8600000US61112
0,25,29,male,61941,8600000US61941
0,10,14,male,62070,8600000US62070
0,15,17,female,63053,8600000US63053
0,20,20,male,63474,8600000US63474
0,70,74,female,63666,8600000US63666
0,,,,64102,8600000US64102
0,20,20,female,64420,8600000US64420
0,80,84,male,64781,8600000US64781
0,85,,male,65215,8600000US65215
0,22,24,male,66622,8600000US66622
0,18,19,female,66778,8600000US66778
0,21,21,male,67021,8600000US67021
0,62,64,male,67150,8600000US67150
0,15,17,female,67559,8600000US67559
0,80,84,female,67639,8600000US67639
0,21,21,male,67647,8600000US67647
0,21,21,male,67743,8600000US67743
0,30,34,male,67843,8600000US67843
0,65,66,female,68113,8600000US68113
0,20,20,male,68445,8600000US68445
0,85,,male,68655,8600000US68655
0,21,21,male,68710,8600000US68710
0,0,4,male,68828,8600000US68828
0,20,20,female,68860,8600000US68860
0,80,84,male,68923,8600000US68923
0,20,20,female,68950,8600000US68950
0,20,20,male,68957,8600000US68957
0,65,66,male,69041,8600000US69041
0,10,14,female,69220,8600000US69220
0,80,84,male,70050,8600000US70050
0,21,21,male,70644,8600000US70644
0,45,49,male,70803,8600000US70803
